Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,User_Score
42,Rogue Vanguard Online,Game Boy Advance,2015.0,Misc,Microsoft Studios,0.01,0.01,0.01,0.0,0.03,62.0,7.0
43,Rising Reckoning 2,Wii U,2007.0,Misc,CD Projekt,0.05,0.04,0.05,0.04,0.18,65.0,7.5
44,Crimson Covenant II,PS3,2015.0,Strategy,Sega,0.11,0.06,0.06,0.0,0.23,80.0,7.1
45,  DARK HORIZON III  ,GameCube,2013.0,Action,Devolver Digital,0.19,0.09,0.04,0.09,0.41,72.0,7.8
46,Storm Genesis: Remastered,Game Boy Advance,2003.0,Racing,Sony Interactive Entertainment,0.02,0.01,0.0,0.01,0.04,47.0,6.3
47,Phantom Uprising: Gold Edition,PSP,2023.0,Strategy,505 Games,0.02,0.01,0.01,0.0,0.03,60.0,6.8
48,Wild Covenant III,PSP,2009.0,Shooter,Electronic Arts,1.37,0.62,0.41,1.05,3.45,77.0,5.8
49,Silent Blitz Reborn,PS Vita,2003.0,Action,Atari,0.55,0.48,0.24,0.4,1.67,75.0,
50,Steel Horizon Online,Wii U,2003.0,Platform,Sega,0.04,0.02,0.02,0.03,0.11,59.0,7.8
51,Final Frontier II,DS,2004.0,Simulation,Activision,0.73,0.86,0.49,0.39,2.47,83.0,
52,Steel Legends: Remastered,PS Vita,2001.0,Shooter,NetherRealm Studios,0.06,0.06,0.06,0.05,0.23,65.0,5.6
53,Hollow Odyssey III,GameCube,2014.0,Platform,Sega,0.01,0.0,0.0,0.01,0.02,84.0,6.2
54,Grand Odyssey 3,Wii U,2012.0,Action,Codemasters,0.5,0.26,0.43,0.31,1.5,65.0,9.2
55,Crimson Syndicate,Xbox One,2020.0,Action,Nintendo,0.02,0.02,0.01,0.01,0.06,50.0,6.5
56,Steel Dominion 2,PS4,2001.0,Role-Playing,Deep Silver,0.29,0.18,0.24,0.25,0.96,71.0,7.1
57,Fallen Empire 3,switch,,Racing,Microsoft Studios,0.03,0.02,0.02,0.0,0.07,61.0,5.2
58,Neon Crusade III,PS3,2000.0,Adventure,Paradox Interactive,0.19,0.08,0.05,0.1,0.42,,6.8
59,Radiant Nexus III,3DS,2014.0,Puzzle,Paradox Interactive,0.1,0.03,0.01,0.06,0.2,70.0,6.5
60,Golden Dominion 3,3DS,2019.0,Strategy,Annapurna Interactive,0.06,0.04,0.03,0.0,0.12,84.0,7.5
61,Twisted Voyage,PSP,2002.0,Racing,Warner Bros. Interactive,0.21,0.1,0.16,0.1,0.57,72.0,4.9
62,Steel Warfare,PC,2004.0,Sports,Annapurna Interactive,0.03,0.02,0.02,0.0,0.06,73.0,6.4
63,Phantom Crusade: Redux,psp,2012.0,Misc,,0.03,0.04,0.03,0.02,0.12,73.0,6.2
64,Iron Uprising III,Xbox One,2016.0,Sports,Bethesda Softworks,0.05,0.03,0.01,0.01,0.1,79.0,
65,Ancient Chronicles Reborn,PS4,2004.0,Role-Playing,Team17,0.01,0.01,0.0,0.03,0.05,65.0,6.9
66,Wicked Nexus: Gold Edition,xbox360,2022.0,Role-Playing,Microsoft Studios,0.44,0.27,0.06,0.42,1.19,67.0,7.1
67,Hollow Paradox: Redux,PSP,2006.0,Puzzle,Sega,0.06,0.03,0.03,0.0,0.12,65.0,5.1
68,Lost Voyage IV,PS5,2006.0,Strategy,THQ,0.02,0.01,0.0,0.0,0.03,,7.0
69,Frozen Horizon: Origins,3ds,2019.0,Action,Ubisoft,0.06,0.04,0.04,0.02,0.16,85.0,7.0
70,Neon Syndicate,PSP,2012.0,Sports,Atari,0.21,0.11,0.09,0.0,0.41,62.0,6.7
71,Iron Voyage 3,GameCube,2007.0,Strategy,Focus Entertainment,0.08,0.03,0.05,0.02,0.18,73.0,
72,Ancient Uprising: Redux,PS2,2015.0,Fighting,Deep Silver,0.01,0.0,0.0,0.0,0.01,88.0,6.5
73,Astral Requiem Online,PS5,2021.0,Shooter,Atari,0.04,0.02,0.02,0.03,0.11,74.0,7.1
74,Golden Sanctuary II,Game Boy Advance,2006.0,Strategy,Paradox Interactive,0.04,0.03,0.02,0.0,0.09,81.0,5.4
75,Lost Horizon 3,PS3,2016.0,Misc,Paradox Interactive,0.62,0.37,0.05,0.37,1.41,64.0,9.0
76,Final Warfare III,PS2,2003.0,Action,Tecmo Koei,0.51,0.28,0.21,0.0,1.0,77.0,6.4
77,Rising Reckoning 3,PC,2002.0,Adventure,Epic Games,0.02,0.01,0.01,0.01,0.05,75.0,
78,Golden Vanguard: Redux,Wii,2012.0,Adventure,Ubisoft,0.02,0.01,0.01,0.02,0.06,89.0,6.8
79,Lost Sanctuary,wii,2024.0,Shooter,Take-Two Interactive,0.03,0.02,0.01,0.0,0.06,71.0,6.6
80,  SAVAGE RECKONING 2  ,3DS,2011.0,Puzzle,505 Games,0.08,0.03,0.03,0.01,0.15,60.0,6.2
81,Storm Legends Reborn,PSP,2018.0,Shooter,Sony Interactive Entertainment,0.1,0.04,0.06,0.02,0.22,80.0,4.1
82,Iron Covenant 2,PS4,2015.0,Action,Paradox Interactive,0.29,0.24,0.04,0.18,0.75,83.0,9.4
83,Fallen Kingdom IV,PSP,2015.0,Racing,2K Games,0.04,0.04,0.02,0.02,0.12,89.0,6.1
84,Silent Syndicate: Remastered,PS Vita,2014.0,Strategy,Nintendo,0.1,0.11,0.09,0.08,0.38,,7.7
85,Fallen Crusade,PS4,2005.0,Sports,Bethesda Softworks,0.04,0.03,0.03,0.0,0.1,68.0,6.2
86,Rising Crusade: Remastered,Game Boy Advance,2004.0,Simulation,Codemasters,0.02,0.01,0.01,0.0,0.04,79.0,10.0
87,Frozen Crusade 2,Wii U,2016.0,Racing,Devolver Digital,0.05,0.06,0.02,0.06,0.19,78.0,8.9
88,Iron Uprising 3,3DS,2026.0,Shooter,Annapurna Interactive,0.0,0.0,0.0,0.01,0.01,77.0,7.2
89,Rising Odyssey: Gold Edition,PC,2011.0,Puzzle,Codemasters,0.47,0.17,0.07,0.2,0.91,59.0,5.9
90,Phantom Chronicles IV,Xbox One,2008.0,Fighting,Atari,0.03,0.02,0.0,0.02,0.07,67.0,8.1
91,Broken Reckoning 3,PS3,2007.0,Sports,Annapurna Interactive,0.01,0.01,0.0,0.0,0.02,,6.8
92,Rising Horizon: Origins,ds,2005.0,Role-Playing,Square Enix,0.18,0.11,0.03,0.12,0.44,81.0,7.5
93,Golden Chronicles: Gold Edition,Wii U,2000.0,Adventure,Sony Interactive Entertainment,0.04,0.01,0.02,0.01,0.08,82.0,7.3
94,Dark Legends Online,Nintendo Switch,2013.0,Adventure,Bethesda Softworks,0.14,0.12,0.07,0.09,0.42,77.0,6.0
95,Crimson Uprising 3,Wii U,2018.0,Fighting,THQ,0.04,0.04,0.01,0.02,0.11,,
96,Phantom Chronicles II,Game Boy Advance,2024.0,Strategy,Microsoft Studios,0.02,0.02,0.01,0.02,0.07,66.0,5.3
97,Iron Crusade,Wii,2000.0,Action,CD Projekt,0.38,0.36,0.13,0.3,1.17,84.0,7.2
98,Phantom Warfare 3,GameCube,2007.0,Action,Deep Silver,0.36,0.18,0.2,0.0,0.74,70.0,7.7
99,Hollow Horizon 3,Xbox Series X,2010.0,Adventure,Konami,0.23,0.19,0.18,0.12,0.72,66.0,5.8
100,Golden Voyage 3,PC,2008.0,Sports,THQ,0.1,0.03,0.05,0.01,0.19,79.0,8.2
101,Phantom Voyage Online,Nintendo Switch,2002.0,Adventure,Devolver Digital,0.13,0.06,0.03,0.05,0.27,73.0,
102,Hollow Warfare 2,DS,2023.0,Shooter,Rockstar Games,0.03,0.02,0.02,0.01,0.08,83.0,9.7
103,Lost Horizon Reborn,Nintendo Switch,2014.0,Sports,Devolver Digital,0.22,0.15,0.04,0.02,0.43,,8.8
104,  WILD ARENA 3  ,PS5,2016.0,Racing,Microsoft Studios,0.01,0.0,0.0,0.01,0.02,69.0,9.7
105,Lost Legion 3,PS5,2006.0,Platform,CD Projekt,0.02,0.02,0.01,0.02,0.07,59.0,9.4
106,Eternal Arena Reborn,switch,2004.0,Strategy,Paradox Interactive,0.13,0.08,0.11,0.11,0.43,93.0,8.0
107,Neon Dominion III,Xbox One,2026.0,Role-Playing,Bethesda Softworks,0.01,0.01,0.0,0.0,0.02,71.0,6.6
108,Phantom Syndicate Online,DS,2021.0,Simulation,Square Enix,0.01,0.01,0.0,0.01,0.03,67.0,6.6
109,Steel Blitz: Redux,Nintendo Switch,2019.0,Platform,Square Enix,0.07,0.05,0.05,0.06,0.23,99.0,8.2
110,Hollow Dominion IV,PS3,2020.0,Action,CD Projekt,0.02,0.01,0.01,0.0,0.04,54.0,4.3
111,Twisted Nexus: Gold Edition,Wii U,2012.0,Adventure,THQ,0.1,0.06,0.02,0.01,0.19,,8.3
112,Phantom Requiem IV,PC,2019.0,Puzzle,505 Games,0.01,0.01,0.0,0.01,0.03,,6.7
113,Sacred Realm II,PS2,2003.0,Platform,Square Enix,0.04,0.01,0.0,0.02,0.07,84.0,4.8
114,Frozen Empire 3,GameCube,2006.0,Action,Sony Interactive Entertainment,0.15,0.05,0.02,0.06,0.28,68.0,7.1
115,Radiant Sanctuary,PS3,2002.0,Simulation,Bandai Namco,0.01,0.01,0.0,0.0,0.02,67.0,6.8
116,Ancient Legion: Origins,PC,2020.0,Sports,Atari,0.37,0.31,0.13,0.56,1.37,67.0,9.3
117,Iron Warfare II,PS5,2004.0,Action,Take-Two Interactive,0.01,0.01,0.0,0.01,0.03,,5.9
118,Lost Warfare 3,Game Boy Advance,2017.0,Racing,Annapurna Interactive,0.08,0.04,0.05,0.0,0.17,90.0,4.2
119,Rogue Legends: Remastered,PS3,2003.0,Misc,Warner Bros. Interactive,0.04,0.02,0.02,0.0,0.08,79.0,5.2
120,Savage Crusade: Origins,Xbox 360,2014.0,Role-Playing,Annapurna Interactive,0.06,0.02,0.02,0.02,0.12,77.0,6.5
121,Wicked Covenant Online,Wii U,2018.0,Sports,Konami,0.01,0.01,0.0,0.01,0.03,,
122,Sacred Legends II,Xbox 360,2010.0,Misc,Focus Entertainment,0.04,0.02,0.03,0.01,0.1,70.0,6.3
123,Radiant Legends Online,PS5,2004.0,Role-Playing,Codemasters,0.15,0.06,0.1,0.03,0.34,,10.0
124,Silent Voyage: Remastered,PS3,2009.0,Puzzle,Rockstar Games,0.13,0.06,0.01,0.19,0.39,72.0,9.5
125,Twisted Paradox,Game Boy Advance,2013.0,Puzzle,,0.11,0.07,0.05,0.0,0.23,67.0,6.2
126,Ancient Legends Online,PS2,2008.0,Role-Playing,2K Games,0.09,0.05,0.03,0.14,0.31,75.0,7.2
127,Dark Arena: Remastered,PC,2008.0,Puzzle,Team17,0.03,0.02,0.02,0.01,0.08,70.0,5.8
128,  ROGUE REBELLION III  ,ps3,2024.0,Platform,Sony Interactive Entertainment,0.07,0.06,0.01,0.06,0.2,64.0,8.7
129,Wild Reckoning Online,Nintendo Switch,2009.0,Simulation,,0.04,0.02,0.0,0.02,0.08,66.0,8.4
130,Golden Syndicate: Redux,PS3,2002.0,Action,Sega,0.02,0.01,0.01,0.03,0.07,57.0,7.2
131,Savage Empire: Remastered,Nintendo Switch,2019.0,Adventure,Konami,0.02,0.01,0.0,0.01,0.04,53.0,4.7
132,  GOLDEN RECKONING: ORIGINS  ,GameCube,2015.0,Adventure,Paradox Interactive,0.01,0.01,0.0,0.02,0.04,79.0,7.1
133,Radiant Blitz Online,Xbox Series X,2023.0,Simulation,505 Games,0.01,0.01,0.0,0.0,0.02,84.0,8.7
134,Dark Blitz: Remastered,PSP,2021.0,Shooter,Team17,0.03,0.01,0.01,0.01,0.06,56.0,8.0
135,Lost Frontier 2,Wii U,2002.0,Shooter,Capcom,0.02,0.01,0.01,0.02,0.06,62.0,5.9
136,Radiant Empire: Remastered,PSP,2011.0,Racing,Deep Silver,0.06,0.02,0.02,0.03,0.13,58.0,5.0
137,Twisted Kingdom Online,Xbox 360,2013.0,Puzzle,Take-Two Interactive,0.02,0.01,0.0,0.01,0.04,75.0,7.0
138,Steel Reckoning,Nintendo Switch,2014.0,Role-Playing,Codemasters,0.27,0.09,0.15,0.06,0.57,70.0,5.7
139,Wicked Horizon Online,Xbox 360,2004.0,Adventure,Devolver Digital,0.14,0.08,0.04,0.03,0.29,55.0,8.9
140,Rising Arena: Origins,DS,2013.0,Adventure,2K Games,0.0,0.0,0.0,0.01,0.01,88.0,8.3
141,Storm Warfare: Gold Edition,PS2,2024.0,Shooter,Bethesda Softworks,0.03,0.02,0.02,0.0,0.07,87.0,7.7
142,Astral Covenant: Origins,PS3,2002.0,Racing,Warner Bros. Interactive,0.02,0.01,0.0,0.03,0.06,76.0,9.1
143,Frozen Genesis II,PC,2007.0,Puzzle,Bethesda Softworks,0.04,0.04,0.01,0.03,0.12,71.0,6.8
144,Storm Empire 2,PS3,2009.0,Racing,Paradox Interactive,0.02,0.01,0.01,0.0,0.04,86.0,7.4
145,Iron Legends II,Xbox One,2004.0,Action,Atari,0.05,0.02,0.0,0.03,0.1,78.0,6.0
146,Shadow Paradox II,GameCube,2013.0,Puzzle,Devolver Digital,0.34,0.3,0.13,0.11,0.88,,10.0
147,Grand Genesis: Gold Edition,Wii,2022.0,Role-Playing,CD Projekt,0.01,0.0,0.0,0.01,0.02,79.0,6.5
148,Eternal Crusade,PS Vita,2016.0,Platform,Epic Games,0.0,0.0,0.0,0.01,0.01,54.0,6.7
149,Rogue Covenant: Redux,PC,2013.0,Puzzle,Team17,0.02,0.01,0.0,0.03,0.06,80.0,8.2
150,Hollow Empire Reborn,Wii,2001.0,Racing,Capcom,0.45,0.26,0.25,0.0,0.96,58.0,
151,Radiant Crusade 2,Nintendo Switch,2018.0,Shooter,Team17,0.01,0.0,0.01,0.01,0.03,60.0,5.8
152,Neon Chronicles: Redux,Xbox One,2020.0,Fighting,Devolver Digital,0.4,0.2,0.17,0.06,0.83,76.0,8.0
153,Radiant Reckoning: Gold Edition,PS4,2016.0,Action,Ubisoft,0.0,0.0,0.0,0.01,0.01,64.0,6.6
154,Rising Odyssey II,Xbox Series X,2018.0,Shooter,Sony Interactive Entertainment,0.15,0.06,0.08,0.04,0.33,73.0,6.7
155,Phantom Horizon: Origins,Wii U,2010.0,Simulation,Microsoft Studios,0.09,0.05,0.05,0.11,0.3,70.0,6.2
156,Crimson Genesis 2,PSP,2023.0,Adventure,THQ,0.02,0.02,0.0,0.03,0.07,,8.0
157,Dark Realm: Remastered,PS2,2025.0,Strategy,,0.2,0.15,0.13,0.02,0.5,81.0,8.3
158,Ancient Horizon,Xbox 360,2002.0,Puzzle,Electronic Arts,0.04,0.03,0.02,0.0,0.08,78.0,
159,Crimson Dominion: Gold Edition,Nintendo Switch,2022.0,Racing,Rockstar Games,0.02,0.01,0.01,0.0,0.04,82.0,7.7
160,Wild Genesis III,Xbox Series X,2005.0,Action,Activision,0.0,0.0,0.0,0.01,0.01,60.0,5.9
161,Neon Arena 3,Xbox 360,2017.0,Sports,Konami,0.05,0.03,0.01,0.07,0.16,50.0,7.0
162,Radiant Uprising 2,PSP,2010.0,Misc,Electronic Arts,0.01,0.01,0.0,0.0,0.02,53.0,7.0
163,Frozen Blitz Online,PSP,2009.0,Sports,Electronic Arts,0.16,0.09,0.02,0.08,0.35,57.0,
164,Phantom Genesis Reborn,PC,2009.0,Strategy,Deep Silver,0.04,0.05,0.03,0.03,0.15,94.0,7.7
165,Eternal Empire 2,switch,2000.0,Puzzle,Paradox Interactive,0.05,0.01,0.01,0.02,0.09,78.0,8.6
166,Broken Legion,Xbox Series X,2005.0,Shooter,Paradox Interactive,0.12,0.04,0.03,0.08,0.27,76.0,4.8
167,Phantom Origins II,PS2,2003.0,Strategy,Sony Interactive Entertainment,0.17,0.06,0.01,0.14,0.38,90.0,7.8
168,Phantom Origins 2,3DS,2018.0,Role-Playing,Take-Two Interactive,0.01,0.01,0.01,0.0,0.03,71.0,6.5
169,Hollow Uprising 2,PS5,2022.0,Adventure,Warner Bros. Interactive,0.07,0.06,0.03,0.02,0.18,71.0,
170,Rogue Paradox II,PS5,2016.0,Shooter,Sony Interactive Entertainment,0.29,0.16,0.16,0.0,0.61,,5.8
171,Ancient Arena,Nintendo Switch,2018.0,Platform,CD Projekt,0.1,0.08,0.1,0.09,0.37,75.0,8.0
172,Phantom Horizon: Gold Edition,Xbox One,2003.0,Puzzle,Microsoft Studios,0.07,0.05,0.04,0.01,0.17,62.0,6.4
173,Final Reckoning,PC,2018.0,Strategy,Deep Silver,0.08,0.04,0.02,0.01,0.15,67.0,5.9
174,Hollow Rebellion: Gold Edition,Nintendo Switch,2006.0,Racing,Nintendo,0.08,0.04,0.06,0.04,0.22,83.0,5.8
175,Eternal Kingdom 3,Xbox 360,2007.0,Racing,Sony Interactive Entertainment,0.03,0.01,0.02,0.01,0.07,65.0,9.1
176,Grand Genesis: Gold Edition,PC,2007.0,Racing,Sony Interactive Entertainment,0.05,0.04,0.01,0.06,0.16,66.0,9.9
177,Astral Frontier 3,PC,2018.0,Action,Tecmo Koei,0.11,0.08,0.03,0.03,0.25,68.0,6.1
178,Ancient Reckoning 3,Xbox 360,2003.0,Platform,Rockstar Games,0.26,0.09,0.13,0.06,0.54,57.0,
179,Ancient Arena 3,ds,2017.0,Strategy,Bandai Namco,0.02,0.02,0.01,0.02,0.07,76.0,6.0
180,Wicked Nexus 3,DS,2025.0,Role-Playing,Team17,0.02,0.02,0.01,0.01,0.06,78.0,4.8
181,Final Syndicate,3DS,2005.0,Simulation,Activision,0.1,0.04,0.01,0.08,0.23,67.0,7.2
182,Steel Syndicate,GameCube,2010.0,Strategy,Take-Two Interactive,0.06,0.04,0.01,0.02,0.13,62.0,8.1
183,Frozen Legends Reborn,PS Vita,2005.0,Adventure,Annapurna Interactive,0.47,0.33,0.15,0.08,1.03,,8.0
184,Lost Voyage: Redux,Xbox Series X,2023.0,Strategy,NetherRealm Studios,0.06,0.02,0.02,0.03,0.13,66.0,7.9
185,  WILD SANCTUARY  ,3DS,2000.0,Action,Microsoft Studios,0.02,0.01,0.01,0.02,0.06,68.0,6.5
186,Dark Frontier: Redux,Xbox Series X,2009.0,Misc,Activision,0.01,0.0,0.0,0.01,0.02,75.0,10.0
187,Wild Reckoning 2,Xbox One,2016.0,Action,THQ,0.01,0.01,0.01,0.01,0.04,,5.5
188,Rogue Kingdom II,Xbox Series X,2001.0,Strategy,Microsoft Studios,0.07,0.04,0.02,0.01,0.14,99.0,5.1
189,Radiant Vanguard: Gold Edition,Wii,2010.0,Platform,2K Games,0.05,0.06,0.01,0.07,0.19,74.0,9.0
190,Lost Legion II,PC,,Puzzle,Warner Bros. Interactive,0.05,0.02,0.02,0.0,0.09,,
191,Golden Blitz: Remastered,Game Boy Advance,2023.0,Misc,Nintendo,0.1,0.04,0.06,0.01,0.21,80.0,6.7
192,  RADIANT REBELLION: GOLD EDITION  ,PS Vita,2026.0,Racing,Microsoft Studios,0.26,0.19,0.28,0.25,0.98,55.0,9.9
193,Golden Odyssey,GameCube,2026.0,Role-Playing,Bandai Namco,0.17,0.07,0.08,0.12,0.44,70.0,7.0
194,Shadow Kingdom III,Wii,2007.0,Adventure,Square Enix,0.17,0.09,0.09,0.1,0.45,59.0,6.9
195,Wicked Realm Reborn,PSP,2022.0,Racing,Annapurna Interactive,0.54,0.24,0.05,0.38,1.21,96.0,8.2
196,Wild Odyssey Reborn,Xbox One,2009.0,Platform,Devolver Digital,0.02,0.02,0.0,0.02,0.06,67.0,9.7
197,Final Warfare II,Xbox Series X,2007.0,Puzzle,Ubisoft,0.02,0.01,0.0,0.01,0.04,,5.6
198,Crimson Vanguard: Origins,GameCube,2008.0,Puzzle,Bandai Namco,1.64,0.97,0.19,0.3,3.1,67.0,8.4
199,Crimson Crusade: Remastered,PS4,2023.0,Adventure,Activision,0.01,0.01,0.0,0.01,0.03,70.0,7.3
200,Golden Voyage: Gold Edition,3DS,2005.0,Platform,Bandai Namco,0.03,0.02,0.02,0.02,0.09,78.0,4.9
201,Fallen Requiem: Redux,Wii,2005.0,Sports,Microsoft Studios,0.01,0.0,0.0,0.01,0.02,,7.9
202,Dark Empire: Origins,DS,2014.0,Puzzle,Nintendo,0.12,0.08,0.06,0.02,0.28,78.0,7.6
203,Iron Chronicles IV,GameCube,2013.0,Simulation,Microsoft Studios,0.01,0.02,0.01,0.01,0.05,67.0,6.7
204,Silent Odyssey,Wii,2014.0,Sports,Warner Bros. Interactive,0.06,0.05,0.01,0.03,0.15,66.0,5.9
205,Astral Kingdom III,wii u,2024.0,Misc,Tecmo Koei,0.02,0.01,0.01,0.0,0.03,71.0,7.5
206,Shadow Frontier III,PS Vita,2013.0,Strategy,Tecmo Koei,0.04,0.03,0.01,0.04,0.12,71.0,9.2
207,Wild Origins IV,PS2,2005.0,Shooter,THQ,0.01,0.01,0.0,0.02,0.04,,8.7
208,Fallen Vanguard: Remastered,PSP,2015.0,Simulation,Sega,0.09,0.08,0.04,0.05,0.26,,7.8
209,Steel Blitz IV,Nintendo Switch,2022.0,Fighting,Capcom,0.14,0.06,0.01,0.18,0.39,70.0,6.9
210,Eternal Covenant 2,Game Boy Advance,2000.0,Platform,Activision,0.12,0.1,0.07,0.03,0.32,91.0,6.1
211,Frozen Legends II,GameCube,2021.0,Platform,Tecmo Koei,0.02,0.01,0.01,0.02,0.06,,6.9
212,Lost Nexus: Remastered,Game Boy Advance,2025.0,Racing,Sega,0.39,0.15,0.16,0.31,1.01,96.0,
213,Astral Frontier Reborn,PS5,2022.0,Platform,NetherRealm Studios,0.03,0.02,0.01,0.0,0.05,79.0,5.6
214,Storm Origins: Redux,Wii U,2005.0,Misc,Ubisoft,4.13,1.39,0.3,3.1,8.92,56.0,4.5
215,Lost Voyage,PS4,2004.0,Puzzle,NetherRealm Studios,0.06,0.04,0.03,0.0,0.13,70.0,8.2
216,Grand Empire,Nintendo Switch,2011.0,Racing,,0.09,0.03,0.04,0.01,0.17,59.0,7.1
217,Radiant Paradox: Redux,Wii,2007.0,Sports,Bandai Namco,0.27,0.17,0.09,0.1,0.63,92.0,7.5
218,Radiant Syndicate: Origins,Xbox 360,2021.0,Puzzle,Paradox Interactive,0.02,0.01,0.02,0.03,0.08,51.0,6.2
219,Golden Vanguard,PS Vita,2000.0,Shooter,505 Games,0.04,0.04,0.03,0.04,0.15,,7.5
