Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,User_Score,Publisher_Missing_Flag,Year_Missing_Flag,Region_Reach,Success_Score
16407,ASTRAL GENESIS,Wii,2018.0,Shooter,Square Enix,0.04,0.02,0.0,0.04,0.1,77.0,7.2,0,0,3,41.5
10757,ASTRAL GENESIS IV,Xbox Series X,2016.0,Shooter,Bandai Namco,0.7,0.41,0.25,0.12,1.48,58.0,4.3,0,0,4,35.3
11299,ASTRAL HORIZON,Nintendo Switch,2018.0,Sports,Annapurna Interactive,0.1,0.05,0.01,0.13,0.29,67.0,6.0,0,0,3,36.9
16420,ASTRAL HORIZON,Nintendo Switch,2021.0,Platform,Devolver Digital,0.02,0.01,0.01,0.0,0.04,38.0,7.0,0,0,3,29.4
1847,ASTRAL HORIZON 2,PSP,2009.0,Strategy,Devolver Digital,0.09,0.08,0.02,0.08,0.27,68.0,5.9,0,0,4,39.5
14735,ASTRAL HORIZON: GOLD EDITION,PS2,2025.0,Misc,Capcom,0.03,0.02,0.02,0.0,0.07,71.0,6.4,0,0,3,38.5
9754,ASTRAL HORIZON: REMASTERED,Xbox Series X,2019.0,Action,Konami,0.06,0.04,0.03,0.0,0.13,90.0,7.1,0,0,3,45.3
4054,ASTRAL KINGDOM REBORN,PS5,2003.0,Strategy,Bandai Namco,0.0,0.0,0.0,0.01,0.01,57.0,6.6,0,0,1,29.5
8780,ASTRAL LEGENDS,PS4,2008.0,Fighting,Epic Games,0.02,0.01,0.01,0.03,0.07,60.0,5.4,0,0,4,36.2
16694,ASTRAL LEGENDS ONLINE,PC,2024.0,Action,Nintendo,0.01,0.01,0.0,0.0,0.02,74.0,,0,0,2,34.7
15575,ASTRAL LEGION: GOLD EDITION,PS5,2000.0,Action,Warner Bros. Interactive,0.04,0.02,0.01,0.02,0.09,55.0,8.2,0,0,4,38.9
9554,ASTRAL NEXUS 2,PS Vita,2026.0,Action,Konami,0.03,0.01,0.01,0.0,0.05,56.0,6.0,0,0,3,33.3
6303,ASTRAL NEXUS III,3DS,2017.0,Simulation,Konami,0.15,0.13,0.11,0.11,0.5,64.0,6.8,0,0,4,39.9
1250,ASTRAL ODYSSEY IV,PS2,2008.0,Strategy,Tecmo Koei,0.87,0.37,0.41,0.74,2.39,70.0,,0,0,4,40.9
16677,ASTRAL ODYSSEY ONLINE,Wii,2007.0,Strategy,Epic Games,0.01,0.01,0.0,0.03,0.05,49.0,9.0,0,0,3,35.7
590,ASTRAL PARADOX II,Xbox Series X,2019.0,Adventure,NetherRealm Studios,0.06,0.03,0.0,0.03,0.12,,6.4,0,0,3,32.2
12240,ASTRAL PARADOX: GOLD EDITION,game boy advance,2023.0,Platform,Epic Games,0.17,0.2,0.14,0.12,0.63,80.0,6.9,0,0,4,45.0
9477,ASTRAL REALM III,Xbox One,2007.0,Strategy,CD Projekt,0.01,0.0,0.0,0.01,0.02,87.0,6.8,0,0,2,41.3
6760,ASTRAL REALM: ORIGINS,DS,2007.0,Simulation,Bandai Namco,0.34,0.24,0.1,0.0,0.68,62.0,8.2,0,0,3,39.1
14256,ASTRAL REALM: REDUX,gamecube,2019.0,Action,NetherRealm Studios,0.05,0.02,0.04,0.02,0.13,75.0,,0,0,4,40.1
5730,ASTRAL REBELLION,PS5,2023.0,Strategy,Codemasters,0.05,0.05,0.04,0.06,0.2,76.0,6.4,0,0,4,42.6
14418,ASTRAL RECKONING II,Game Boy Advance,2024.0,Racing,Paradox Interactive,0.02,0.01,0.01,0.01,0.05,63.0,8.0,0,0,4,40.9
7840,ASTRAL RECKONING: REDUX,Nintendo Switch,2008.0,Sports,Codemasters,0.15,0.13,0.07,0.04,0.39,89.0,6.7,0,0,4,47.1
8569,ASTRAL SANCTUARY,Xbox One,2020.0,Sports,NetherRealm Studios,0.03,0.02,0.01,0.0,0.06,79.0,,0,0,3,38.8
5503,ASTRAL SYNDICATE 2,PC,2016.0,Strategy,Paradox Interactive,0.0,0.0,0.0,0.01,0.01,73.0,7.3,0,0,1,35.4
2866,ASTRAL VANGUARD 2,Wii,2020.0,Misc,Ubisoft,0.0,0.0,0.0,0.01,0.01,42.0,7.8,0,0,1,26.8
16091,ASTRAL VANGUARD IV,Xbox One,2026.0,Shooter,Sony Interactive Entertainment,0.01,0.01,0.01,0.0,0.03,83.0,8.0,0,0,3,44.4
10408,ASTRAL VOYAGE: GOLD EDITION,PS3,2009.0,Role-Playing,Activision,0.17,0.08,0.01,0.05,0.31,39.0,7.7,0,0,3,31.1
171,Ancient Arena,Nintendo Switch,2018.0,Platform,CD Projekt,0.1,0.08,0.1,0.09,0.37,75.0,8.0,0,0,4,44.9
10221,Ancient Arena,Xbox 360,2012.0,Strategy,Team17,0.12,0.07,0.1,0.08,0.37,63.0,,0,0,4,36.8
16086,Ancient Arena 2,PSP,2013.0,Racing,NetherRealm Studios,0.02,0.01,0.0,0.01,0.04,52.0,6.1,0,0,3,32.3
16079,Ancient Arena 3,Game Boy Advance,2008.0,Role-Playing,Capcom,0.19,0.12,0.05,0.07,0.43,44.0,7.2,0,0,4,34.4
4512,Ancient Arena 3,Xbox 360,2017.0,Sports,Codemasters,0.03,0.02,0.01,0.0,0.06,51.0,6.8,0,0,3,33.1
179,Ancient Arena 3,ds,2017.0,Strategy,Bandai Namco,0.02,0.02,0.01,0.02,0.07,76.0,6.0,0,0,4,41.9
943,Ancient Arena II,PS4,,Shooter,Bethesda Softworks,0.02,0.01,0.01,0.01,0.05,58.0,7.1,0,1,4,38.1
3032,Ancient Arena II,PS4,2019.0,Puzzle,Electronic Arts,0.19,0.12,0.03,0.15,0.49,76.0,10.0,0,0,4,48.3
14726,Ancient Arena III,Wii U,2012.0,Misc,Rockstar Games,0.04,0.02,0.01,0.02,0.09,59.0,8.3,0,0,4,40.2
7685,Ancient Arena III,Xbox 360,2005.0,Simulation,Microsoft Studios,0.1,0.07,0.03,0.11,0.31,53.0,6.6,0,0,4,36.1
16825,Ancient Arena IV,PS Vita,2026.0,Racing,Warner Bros. Interactive,0.0,0.0,0.0,0.01,0.01,80.0,6.5,0,0,1,36.3
8644,Ancient Arena IV,PS3,2019.0,Role-Playing,Atari,0.05,0.03,0.01,0.03,0.12,50.0,6.5,0,0,4,34.9
560,Ancient Arena IV,PSP,2018.0,Fighting,Capcom,0.02,0.03,0.02,0.01,0.08,69.0,5.8,0,0,4,39.5
12599,Ancient Arena Online,PS2,2013.0,Puzzle,Sony Interactive Entertainment,0.08,0.03,0.01,0.09,0.21,,6.3,0,0,3,32.2
15538,Ancient Arena Online,Xbox 360,2014.0,Role-Playing,505 Games,0.04,0.02,0.01,0.02,0.09,57.0,5.7,0,0,4,35.7
7777,Ancient Arena: Gold Edition,Xbox One,2016.0,Racing,Deep Silver,0.07,0.05,0.03,0.02,0.17,62.0,7.4,0,0,4,39.9
6016,Ancient Arena: Gold Edition,Xbox Series X,2011.0,Shooter,Square Enix,0.0,0.0,0.0,0.01,0.01,55.0,6.5,0,0,1,28.8
5615,Ancient Arena: Origins,PSP,,Fighting,Paradox Interactive,0.03,0.03,0.01,0.06,0.13,87.0,6.1,0,1,4,45.4
11627,Ancient Arena: Origins,Wii,2013.0,Adventure,Sony Interactive Entertainment,0.07,0.03,0.05,0.04,0.19,80.0,6.9,0,0,4,44.5
3852,Ancient Arena: Origins,Xbox 360,2008.0,Racing,Tecmo Koei,0.28,0.1,0.1,0.15,0.63,,6.9,0,0,4,36.0
10529,Ancient Arena: Redux,Nintendo Switch,2017.0,Shooter,Ubisoft,0.09,0.06,0.03,0.13,0.31,80.0,7.3,0,0,4,45.3
13610,Ancient Arena: Remastered,PS Vita,2019.0,Fighting,Paradox Interactive,0.01,0.01,0.01,0.0,0.03,,6.3,0,0,3,32.0
9253,Ancient Arena: Remastered,gamecube,2018.0,Adventure,Ubisoft,0.05,0.02,0.02,0.01,0.1,95.0,4.7,0,0,4,45.6
11950,Ancient Blitz,PC,2011.0,Role-Playing,Sony Interactive Entertainment,0.02,0.01,0.0,0.03,0.06,80.0,7.6,0,0,3,43.0
11113,Ancient Blitz,PS4,2017.0,Shooter,Epic Games,0.01,0.0,0.0,0.01,0.02,55.0,9.1,0,0,2,35.2
5061,Ancient Blitz,PS4,2022.0,Fighting,Capcom,0.31,0.12,0.09,0.06,0.58,54.0,8.5,0,0,4,39.5
12846,Ancient Blitz 3,Game Boy Advance,2008.0,Puzzle,Microsoft Studios,0.33,0.16,0.12,0.17,0.78,67.0,7.5,0,0,4,42.1
10431,Ancient Blitz II,PS Vita,2011.0,Role-Playing,Konami,0.02,0.01,0.01,0.01,0.05,67.0,7.7,0,0,4,41.7
10346,Ancient Blitz IV,3DS,2003.0,Role-Playing,Annapurna Interactive,0.01,0.01,0.0,0.02,0.04,83.0,8.9,0,0,3,45.8
367,Ancient Blitz Online,PC,2018.0,Sports,Focus Entertainment,0.21,0.07,0.1,0.05,0.43,83.0,5.6,0,0,4,43.7
15616,Ancient Blitz Online,PS2,2012.0,Role-Playing,Paradox Interactive,0.42,0.29,0.19,0.04,0.94,52.0,5.0,0,0,3,31.5
4848,Ancient Blitz Reborn,PS2,2023.0,Strategy,Bethesda Softworks,0.01,0.01,0.01,0.0,0.03,71.0,9.2,0,0,3,42.6
4669,Ancient Blitz Reborn,Wii U,2005.0,Shooter,Rockstar Games,0.02,0.01,0.01,0.0,0.04,47.0,7.8,0,0,3,33.3
2811,Ancient Blitz: Gold Edition,Xbox One,2021.0,Platform,Warner Bros. Interactive,0.21,0.15,0.02,0.1,0.48,69.0,9.1,0,0,3,42.3
1997,Ancient Blitz: Origins,PS Vita,2013.0,Sports,Tecmo Koei,0.02,0.02,0.01,0.03,0.08,58.0,7.4,0,0,4,38.6
8735,Ancient Blitz: Redux,PS3,2014.0,Puzzle,Konami,0.02,0.01,0.01,0.01,0.05,81.0,6.5,0,0,4,44.1
13121,Ancient Blitz: Remastered,Xbox Series X,2022.0,Simulation,Focus Entertainment,0.21,0.1,0.15,0.04,0.5,,4.7,0,0,4,32.5
9504,Ancient Chronicles,PS2,2015.0,Puzzle,Rockstar Games,0.08,0.08,0.06,0.06,0.28,57.0,6.9,0,0,4,37.7
12000,Ancient Chronicles,Xbox Series X,2014.0,Sports,Konami,0.1,0.11,0.05,0.08,0.34,63.0,6.3,0,0,4,38.7
15529,Ancient Chronicles 2,Nintendo Switch,2025.0,Misc,THQ,0.02,0.01,0.0,0.0,0.03,68.0,8.1,0,0,2,37.6
4158,Ancient Chronicles 2,PC,2001.0,Misc,Microsoft Studios,0.01,0.01,0.01,0.0,0.03,84.0,7.4,0,0,3,43.8
1756,Ancient Chronicles 3,GameCube,2000.0,Racing,Electronic Arts,0.14,0.04,0.07,0.0,0.25,49.0,4.6,0,0,3,29.3
7435,Ancient Chronicles 3,Xbox One,2000.0,Role-Playing,Square Enix,0.02,0.02,0.01,0.0,0.05,70.0,6.3,0,0,3,38.0
5196,Ancient Chronicles 3,Xbox Series X,2004.0,Adventure,Bethesda Softworks,0.08,0.04,0.0,0.05,0.17,73.0,6.9,0,0,3,39.9
1767,Ancient Chronicles II,DS,2026.0,Role-Playing,Unknown/Unreported,0.03,0.03,0.01,0.03,0.1,,4.6,1,0,4,32.0
2451,Ancient Chronicles II,PS2,2005.0,Platform,Annapurna Interactive,0.23,0.09,0.08,0.09,0.49,71.0,6.8,0,0,4,42.0
15618,Ancient Chronicles II,PS4,2006.0,Strategy,Epic Games,0.01,0.0,0.0,0.01,0.02,80.0,6.5,0,0,2,38.8
13394,Ancient Chronicles II,PS5,2010.0,Misc,Microsoft Studios,0.11,0.12,0.09,0.02,0.34,44.0,,0,0,4,31.0
4434,Ancient Chronicles III,Nintendo Switch,2017.0,Simulation,Take-Two Interactive,0.1,0.11,0.07,0.06,0.34,74.0,7.0,0,0,4,43.0
14733,Ancient Chronicles IV,PS5,2015.0,Adventure,505 Games,0.04,0.04,0.02,0.01,0.11,73.0,8.6,0,0,4,44.9
13393,Ancient Chronicles Online,PS3,2010.0,Racing,Nintendo,0.38,0.22,0.11,0.7,1.41,54.0,7.2,0,0,4,38.4
26,Ancient Chronicles Online,PS4,2018.0,Fighting,Activision,0.03,0.02,0.02,0.03,0.1,57.0,6.5,0,0,4,36.9
2259,Ancient Chronicles Online,PS5,2012.0,Simulation,Team17,0.06,0.04,0.02,0.02,0.14,87.0,5.1,0,0,4,43.9
65,Ancient Chronicles Reborn,PS4,2004.0,Role-Playing,Team17,0.01,0.01,0.0,0.03,0.05,65.0,6.9,0,0,3,37.4
4043,Ancient Chronicles: Gold Edition,Xbox 360,2004.0,Shooter,Team17,0.13,0.05,0.06,0.02,0.26,88.0,7.6,0,0,4,48.1
16374,Ancient Chronicles: Redux,PS3,2012.0,Role-Playing,Warner Bros. Interactive,0.04,0.02,0.02,0.0,0.08,,8.6,0,0,3,35.5
8683,Ancient Chronicles: Redux,Xbox 360,2006.0,Misc,2K Games,0.03,0.02,0.01,0.02,0.08,77.0,8.3,0,0,4,45.6
14100,Ancient Chronicles: Remastered,PS3,2024.0,Sports,Bethesda Softworks,0.56,0.23,0.35,0.36,1.5,71.0,6.8,0,0,4,43.0
14980,Ancient Chronicles: Remastered,PSP,2001.0,Fighting,Focus Entertainment,0.02,0.02,0.01,0.0,0.05,64.0,3.9,0,0,3,32.6
6944,Ancient Chronicles: Remastered,PSP,2007.0,Platform,Deep Silver,0.09,0.05,0.04,0.0,0.18,,6.1,0,0,3,31.8
4031,Ancient Covenant,3DS,2023.0,Puzzle,Bandai Namco,0.04,0.05,0.0,0.07,0.16,99.0,8.5,0,0,3,50.1
11676,Ancient Covenant,DS,2021.0,Action,Focus Entertainment,0.02,0.01,0.0,0.01,0.04,52.0,6.6,0,0,3,33.0
2024,Ancient Covenant,PC,2017.0,Platform,Konami,0.22,0.09,0.07,0.12,0.5,74.0,7.0,0,0,4,43.2
248,Ancient Covenant,Wii U,2012.0,Fighting,Codemasters,0.08,0.04,0.04,0.07,0.23,65.0,8.4,0,0,4,42.3
2272,Ancient Covenant,Wii U,2018.0,Role-Playing,Bethesda Softworks,0.18,0.06,0.01,0.09,0.34,75.0,5.6,0,0,3,38.7
8082,Ancient Covenant 2,GameCube,2024.0,Role-Playing,2K Games,0.09,0.05,0.06,0.01,0.21,54.0,7.2,0,0,3,34.7
7117,Ancient Covenant 2,PS3,2011.0,Platform,Warner Bros. Interactive,0.01,0.0,0.0,0.0,0.01,77.0,6.9,0,0,1,36.0
6975,Ancient Covenant 3,Wii,2014.0,Adventure,Sega,0.02,0.02,0.02,0.0,0.06,84.0,6.6,0,0,3,42.7
4920,Ancient Covenant II,PS Vita,2012.0,Shooter,NetherRealm Studios,0.14,0.06,0.08,0.09,0.37,67.0,7.7,0,0,4,42.0
11307,Ancient Covenant II,Wii,2006.0,Sports,Capcom,0.06,0.04,0.04,0.0,0.14,80.0,6.0,0,0,3,40.6
8476,Ancient Covenant III,PS5,2024.0,Racing,Warner Bros. Interactive,0.01,0.01,0.0,0.0,0.02,70.0,,0,0,2,33.5
2560,Ancient Covenant Reborn,GameCube,2016.0,Shooter,Warner Bros. Interactive,0.01,0.01,0.0,0.0,0.02,72.0,7.1,0,0,2,37.3
6563,Ancient Covenant: Origins,Nintendo Switch,2015.0,Adventure,CD Projekt,0.0,0.0,0.0,0.01,0.01,,,0,0,1,25.0
4757,Ancient Covenant: Origins,PSP,,Simulation,Sony Interactive Entertainment,0.07,0.03,0.02,0.02,0.14,74.0,4.8,0,1,4,39.5
7756,Ancient Covenant: Origins,Xbox One,2019.0,Misc,Bandai Namco,0.01,0.01,0.01,0.0,0.03,83.0,6.9,0,0,3,42.8
4424,Ancient Covenant: Redux,DS,2002.0,Platform,Activision,0.01,0.0,0.01,0.0,0.02,,6.1,0,0,2,29.2
5107,Ancient Covenant: Redux,PS Vita,2015.0,Racing,Tecmo Koei,0.18,0.17,0.04,0.13,0.52,73.0,6.3,0,0,4,41.9
6096,Ancient Covenant: Redux,PSP,2014.0,Fighting,Sony Interactive Entertainment,0.27,0.09,0.07,0.07,0.5,75.0,9.7,0,0,4,47.5
5083,Ancient Covenant: Redux,Xbox Series X,2018.0,Adventure,Capcom,0.02,0.01,0.01,0.01,0.05,66.0,8.0,0,0,4,41.8
8012,Ancient Covenant: Remastered,PS4,2012.0,Platform,Team17,0.19,0.16,0.14,0.27,0.76,,8.7,0,0,4,38.8
14911,Ancient Covenant: Remastered,Xbox Series X,2005.0,Adventure,THQ,0.04,0.03,0.03,0.04,0.14,76.0,7.6,0,0,4,44.3
6691,Ancient Crusade,DS,2025.0,Shooter,THQ,0.1,0.09,0.03,0.16,0.38,64.0,6.4,0,0,4,39.2
14752,Ancient Crusade,Nintendo Switch,2001.0,Puzzle,Square Enix,0.05,0.02,0.02,0.02,0.11,80.0,5.1,0,0,4,41.8
2192,Ancient Crusade,Wii U,2001.0,Simulation,Rockstar Games,0.03,0.02,0.02,0.03,0.1,99.0,9.6,0,0,4,54.2
16355,Ancient Crusade 3,Game Boy Advance,2013.0,Role-Playing,CD Projekt,0.38,0.18,0.13,0.08,0.77,73.0,4.0,0,0,4,38.7
1838,Ancient Crusade II,DS,2001.0,Fighting,Nintendo,0.01,0.0,0.0,0.01,0.02,,6.5,0,0,2,29.8
9233,Ancient Crusade II,PS3,2013.0,Fighting,Activision,0.01,0.01,0.01,0.0,0.03,,7.3,0,0,3,33.5
518,Ancient Crusade IV,DS,2026.0,Adventure,Electronic Arts,0.0,0.0,0.0,0.01,0.01,81.0,5.2,0,0,1,34.6
4595,Ancient Crusade Reborn,PS5,2006.0,Action,Warner Bros. Interactive,0.15,0.18,0.15,0.1,0.58,58.0,,0,0,4,35.5
10371,Ancient Crusade Reborn,Wii,2004.0,Puzzle,Konami,0.1,0.06,0.05,0.02,0.23,78.0,8.0,0,0,4,45.6
8260,Ancient Crusade: Gold Edition,Xbox Series X,2004.0,Adventure,Devolver Digital,0.03,0.02,0.02,0.02,0.09,,6.9,0,0,4,35.4
16482,Ancient Crusade: Origins,Game Boy Advance,2021.0,Shooter,Devolver Digital,0.03,0.03,0.01,0.02,0.09,71.0,6.2,0,0,4,40.7
14963,Ancient Crusade: Origins,PS4,2019.0,Simulation,Rockstar Games,0.18,0.08,0.02,0.1,0.38,,7.4,0,0,4,36.5
12913,Ancient Crusade: Redux,PC,2005.0,Sports,Electronic Arts,0.26,0.2,0.1,0.17,0.73,61.0,8.1,0,0,4,41.2
16075,Ancient Crusade: Redux,Xbox 360,2015.0,Strategy,Nintendo,0.01,0.01,0.0,0.01,0.03,70.0,9.2,0,0,3,42.3
12763,Ancient Crusade: Remastered,PSP,2024.0,Strategy,Capcom,0.09,0.05,0.02,0.02,0.18,74.0,8.3,0,0,4,44.8
12062,Ancient Dominion,DS,2014.0,Sports,Unknown/Unreported,0.04,0.04,0.03,0.04,0.15,54.0,7.0,1,0,4,36.8
16770,Ancient Dominion,PS Vita,2017.0,Adventure,Devolver Digital,0.03,0.01,0.01,0.02,0.07,86.0,7.7,0,0,4,47.4
5951,Ancient Dominion,PS4,2007.0,Simulation,Bethesda Softworks,0.36,0.17,0.16,0.13,0.82,69.0,8.5,0,0,4,44.3
11182,Ancient Dominion,Wii U,2017.0,Fighting,CD Projekt,0.04,0.04,0.03,0.03,0.14,73.0,7.6,0,0,4,43.4
13537,Ancient Dominion,Xbox One,2022.0,Racing,Warner Bros. Interactive,0.06,0.04,0.05,0.02,0.17,62.0,6.6,0,0,4,38.7
10857,Ancient Dominion 2,DS,2014.0,Strategy,Bethesda Softworks,0.19,0.11,0.02,0.08,0.4,76.0,6.3,0,0,3,40.1
13624,Ancient Dominion 2,PS Vita,2011.0,Simulation,2K Games,0.04,0.04,0.03,0.02,0.13,58.0,5.7,0,0,4,36.1
6712,Ancient Dominion 3,Xbox 360,2013.0,Puzzle,THQ,0.01,0.01,0.0,0.0,0.02,67.0,8.4,0,0,2,37.7
9719,Ancient Dominion 3,Xbox One,2023.0,Adventure,Annapurna Interactive,0.74,0.39,0.22,0.11,1.46,84.0,6.1,0,0,4,45.8
6680,Ancient Dominion II,Nintendo Switch,2023.0,Sports,Nintendo,0.06,0.04,0.04,0.0,0.14,,8.8,0,0,3,35.8
6601,Ancient Dominion III,3DS,2008.0,Adventure,2K Games,0.11,0.07,0.02,0.02,0.22,,6.6,0,0,4,35.1
15253,Ancient Dominion III,3DS,2016.0,Sports,Nintendo,0.13,0.07,0.09,0.08,0.37,67.0,9.3,0,0,4,44.4
11533,Ancient Dominion III,Wii,2016.0,Strategy,Codemasters,0.18,0.15,0.1,0.06,0.49,59.0,7.4,0,0,4,39.3
16538,Ancient Dominion IV,3DS,2020.0,Adventure,Bandai Namco,0.01,0.01,0.01,0.01,0.04,95.0,7.4,0,0,4,49.6
9512,Ancient Dominion IV,Xbox Series X,2009.0,Platform,Devolver Digital,0.04,0.02,0.02,0.01,0.09,,7.8,0,0,4,36.8
4816,Ancient Dominion Online,PS4,2015.0,Misc,2K Games,0.9,0.62,0.16,0.42,2.1,,7.7,0,0,4,38.6
14770,Ancient Dominion Online,Wii,2010.0,Misc,Sony Interactive Entertainment,0.14,0.09,0.07,0.0,0.3,57.0,7.1,0,0,3,35.5
13609,Ancient Dominion Reborn,PS3,2023.0,Fighting,Take-Two Interactive,0.21,0.14,0.08,0.03,0.46,80.0,6.6,0,0,4,44.4
412,Ancient Dominion Reborn,PSP,2003.0,Sports,Epic Games,0.25,0.13,0.05,0.07,0.5,68.0,5.7,0,0,4,39.4
1291,Ancient Dominion Reborn,Xbox Series X,2021.0,Simulation,Devolver Digital,0.04,0.02,0.0,0.02,0.08,,7.9,0,0,3,34.4
6458,Ancient Dominion: Gold Edition,PS4,2001.0,Sports,Take-Two Interactive,0.06,0.04,0.04,0.02,0.16,73.0,7.2,0,0,4,42.9
7133,Ancient Dominion: Origins,Game Boy Advance,,Platform,Focus Entertainment,0.03,0.02,0.0,0.02,0.07,55.0,,0,1,3,31.6
591,Ancient Dominion: Origins,PS Vita,2010.0,Shooter,Sega,1.73,1.08,0.99,1.5,5.3,61.0,7.2,0,0,4,44.4
7570,Ancient Dominion: Origins,PS2,2025.0,Misc,Rockstar Games,0.01,0.01,0.01,0.0,0.03,,5.4,0,0,3,30.6
16488,Ancient Dominion: Origins,PS3,2003.0,Strategy,Team17,1.67,1.36,0.71,0.42,4.16,,8.8,0,0,4,42.4
709,Ancient Dominion: Redux,ps vita,2005.0,Adventure,Atari,0.03,0.02,0.0,0.03,0.08,64.0,7.8,0,0,3,38.5
15093,Ancient Dominion: Remastered,PS Vita,2016.0,Adventure,Activision,0.14,0.11,0.05,0.17,0.47,,5.9,0,0,4,34.3
5248,Ancient Empire,GameCube,2018.0,Fighting,Codemasters,0.12,0.07,0.05,0.0,0.24,67.0,7.2,0,0,3,38.6
515,Ancient Empire,Nintendo Switch,2005.0,Shooter,Ubisoft,0.21,0.22,0.12,0.2,0.75,69.0,6.1,0,0,4,40.6
7440,Ancient Empire 2,Nintendo Switch,2007.0,Strategy,CD Projekt,0.06,0.07,0.02,0.08,0.23,76.0,8.3,0,0,4,45.5
6591,Ancient Empire 2,Nintendo Switch,2021.0,Role-Playing,Sega,0.03,0.02,0.02,0.0,0.07,93.0,8.0,0,0,3,47.5
16044,Ancient Empire 3,PS2,2006.0,Simulation,Focus Entertainment,0.01,0.01,0.01,0.01,0.04,57.0,7.4,0,0,4,38.2
2454,Ancient Empire 3,PS2,2015.0,Fighting,2K Games,0.03,0.03,0.03,0.01,0.1,77.0,9.1,0,0,4,46.8
8278,Ancient Empire II,PS3,2010.0,Racing,Warner Bros. Interactive,0.07,0.07,0.01,0.1,0.25,94.0,5.5,0,0,3,44.2
5385,Ancient Empire III,Wii U,2025.0,Platform,Nintendo,0.06,0.02,0.03,0.0,0.11,78.0,8.1,0,0,3,43.2
14120,Ancient Empire IV,PS2,2017.0,Adventure,Atari,0.03,0.02,0.0,0.03,0.08,65.0,7.1,0,0,3,37.7
13444,Ancient Empire Online,3DS,2009.0,Shooter,Square Enix,0.06,0.05,0.05,0.01,0.17,97.0,,0,0,4,46.8
13797,Ancient Empire Online,Wii U,2002.0,Role-Playing,Devolver Digital,0.06,0.04,0.02,0.01,0.13,95.0,9.5,0,0,4,52.9
